Time (s),Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,activity_label
106.0463825,-1.272204437,9.743538208,0.5077441406,-0.01387385838,0.0501511246,0.0151394587,5
106.0664235,-1.150058441,9.622290344,0.4331991577,-0.04160595313,0.0660315454,0.008984684944,5
106.0864655,-1.064885559,9.725874939,0.5140310669,-0.04045074061,0.08937869966,0.01015700959,5
106.1065065,-1.102307739,9.745484161,0.3297642517,-0.05414950848,0.03726777062,0.01790540852,5
106.1265485,-1.380279694,9.71644455,0.5893244934,-0.01836321503,0.03805623949,0.02732378617,5
106.1465895,-1.282832336,9.594897308,0.5956114197,0.002478816546,0.136605531,0.02884813398,5
106.1666305,-1.209185486,9.562714233,0.5983058167,-0.01272756699,0.09225238115,0.003140749875,5
106.1866725,-0.9876461792,9.644593964,0.4785548401,-0.05354177579,-0.01313811354,-0.0180337429,5
106.2067135,-1.012344818,9.742490387,0.5475613403,-0.04414600879,-0.01943757199,-0.001654912252,5
106.2267555,-1.171014862,9.766141205,0.6319857788,0.01374032535,0.07780060917,0.0105684679,5
106.2467965,-1.149459686,9.808353424,0.602946167,0.01717467234,0.1260529906,0.003009933978,5
106.2668375,-1.013542328,9.742340698,0.6026467896,-0.008119032718,0.06449335068,0.0112101743,5
106.2868795,-0.9509724426,9.694290619,0.5128335571,-0.01146915741,-0.02476936951,0.01952350512,5
106.3069205,-1.080602875,9.689650269,0.274379425,-0.03379603475,-0.004466195591,0.01630501822,5
106.3269625,-1.335971832,9.733808441,0.4480183411,-0.0001023190562,0.06311590225,0.01773071103,5
106.3470035,-1.391955414,9.772727509,0.4989125061,0.02132534236,0.1237154528,0.02356905304,5
106.3670455,-1.269360352,9.610315247,0.5556445312,-0.01141582709,0.06491285563,0.01441310626,5
106.3870865,-1.10575058,9.608369293,0.6785389709,-0.03213249147,-0.02528021298,-0.002087787492,5
106.4071275,-1.142274628,9.759105835,0.5457650757,-0.01124811359,-0.1247153655,0.001159355626,5
106.4271695,-1.137933655,9.691296844,0.4135899353,0.008330114186,-0.1359982491,0.009663932025,5
106.4472105,-1.044228516,9.636660461,0.5511538696,0.03224543482,-0.02870300785,0.006500008516,5
106.4672525,-1.027613068,9.737700348,0.496816864,0.0243556872,0.003559375182,-0.003503002692,5
106.4872935,-1.046473846,9.775870972,0.5764512634,0.01113189291,-0.02605679072,-0.001798302168,5
106.5073345,-1.003064117,9.713001709,0.5665718079,0.02475309744,-0.05402409285,0.003440357279,5
106.5273765,-1.019978943,9.698032837,0.4583468628,0.008407279849,-0.004130046815,0.007882453501,5
106.5474175,-1.060993652,9.727222137,0.5614823914,-0.004779096693,0.06356298178,0.003112465609,5
106.5674595,-1.11622879,9.767338715,0.6153703308,0.01840758324,-0.0287434347,0.01350566745,5
106.5875005,-1.264121246,9.679022369,0.6036946106,0.02463957854,-0.05760081857,0.02094057389,5
106.6075415,-1.187929688,9.633966064,0.3544628906,0.003583095968,-0.02815387957,-0.004598394968,5
106.6275843,-1.050814819,9.713001709,0.3667373657,-0.02812696248,-0.06260739267,-0.004836447537,5
106.6476253,-1.140628052,9.659862213,0.4334985352,0.0210326612,-0.04391349107,0.004056338686,5
106.6676673,-1.20873642,9.64264801,0.4326004028,0.02618993819,0.005891487002,-0.009530145675,5
